순위,업소명,주소,분류,합산 검색 수,정보
71,맥도날드삼성DT점,서울 강남구 봉은사로 432-0,간이음식,20835,"https://map.naver.com/v5/search/%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%EC%82%BC%EC%84%B1DT%EC%A0%90/place/97087769?c=14140525.6483464,4519855.2832805,15,0,0,0,dh&isCorrectAnswer=true"
72,산모퉁이,서울 종로구 백석동길 153-0,카페/찻집,20824,"https://map.naver.com/v5/search/%EC%82%B0%EB%AA%A8%ED%89%81%EC%9D%B4/place/12781756?c=14133538.5803189,4522428.0881288,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
73,스타벅스신정DT점,서울 양천구 신월로 341-0,카페/찻집,20610,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EC%8B%A0%EC%A0%95DT%EC%A0%90/place/1601643645?c=14121398.4662715,4512117.7987419,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
74,임병주산동손칼국수,서울 서초구 강남대로37길 65-0,한식,20574,"https://map.naver.com/v5/search/%EC%9E%84%EB%B3%91%EC%A3%BC%EC%82%B0%EB%8F%99%EC%86%90%EC%B9%BC%EA%B5%AD%EC%88%98/place/1420055829?c=14121398.4662715,4512117.7987419,15,0,0,0,dh&isCorrectAnswer=true"
75,스윗솔트,서울 강동구 상암로 286-0,전문음식,20530,"https://map.naver.com/v5/search/%EC%8A%A4%EC%9C%97%EC%86%94%ED%8A%B8/place/1015528233?c=14154269.1526798,4515416.0362109,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
76,강강술래신림점,서울 관악구 남부순환로 1660-0,한식,20518,"https://map.naver.com/v5/search/%EA%B0%95%EA%B0%95%EC%88%A0%EB%9E%98%EC%8B%A0%EB%A6%BC%EC%A0%90/place/11718658?c=14125731.0517506,4507267.2189361,12,0,0,0,dh&placePath=%3Fentry%253Dbmp"
77,고메이494한남,서울 용산구 한남대로 91-0,전문음식,20356,"https://map.naver.com/v5/search/%EA%B3%A0%EB%A9%94%EC%9D%B4494%ED%95%9C%EB%82%A8/place/1682960660?c=14137608.7437294,4514160.5640005,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
78,토다이목동점,서울 양천구 목동동로 401-0,전문음식,20314,"https://map.naver.com/v5/search/%ED%86%A0%EB%8B%A4%EC%9D%B4%EB%AA%A9%EB%8F%99%EC%A0%90/place/12981045?c=14123874.3675941,4514138.7764439,15,0,0,0,dh&isCorrectAnswer=true"
79,더메이드뷔페,서울 강서구 마곡중앙6로 21-0,전문음식,20265,"https://map.naver.com/v5/search/%EB%8D%94%EB%A9%94%EC%9D%B4%EB%93%9C%EB%B7%94%ED%8E%98/place/1657448449?c=14123874.3675941,4514138.7764439,15,0,0,0,dh&isCorrectAnswer=true"
80,1인1잔,서울 은평구 연서로 534-0,카페/찻집,20188,"https://map.naver.com/v5/search/1%EC%9D%B81%EC%9E%94/place/1101064446?c=14130196.6912815,4528833.1041566,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
81,카페산아래,서울 강북구 삼양로181길 56-0,카페/찻집,20123,"https://map.naver.com/v5/search/%EC%B9%B4%ED%8E%98%EC%82%B0%EC%95%84%EB%9E%98/place/1499941915?c=14138291.3993741,4532458.7415614,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
82,쟝블랑제리,서울 관악구 낙성대역길 8-0,간이음식,20115,"https://map.naver.com/v5/search/%EC%9F%9D%EB%B8%94%EB%9E%91%EC%A0%9C%EB%A6%AC/place/12800337?c=14132877.8880095,4505823.7185392,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
83,블루보틀성수카페,서울 성동구 아차산로 7-0,카페/찻집,20061,"https://map.naver.com/v5/search/%EB%B8%94%EB%A3%A8%EB%B3%B4%ED%8B%80%EC%84%B1%EC%88%98%EC%B9%B4%ED%8E%98/place/1725895520?c=14142191.7671651,4515784.1312598,15,0,0,0,dh&isCorrectAnswer=true"
84,맥도날드서울시흥DT점,서울 금천구 시흥대로 184-0,간이음식,19920,"https://map.naver.com/v5/search/%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%EC%84%9C%EC%9A%B8%EC%8B%9C%ED%9D%A5DT%EC%A0%90/place/36665702?c=14142191.7671651,4515784.1312598,15,0,0,0,dh&isCorrectAnswer=true"
85,몽중헌청담점 [중식],서울 강남구 도산대로 445-0,외국식,19782,"https://map.naver.com/v5/search/%EB%AA%BD%EC%A4%91%ED%97%8C%EC%B2%AD%EB%8B%B4%EC%A0%90%20%5B%EC%A4%91%EC%8B%9D%5D/place/13506631?c=14142096.8227714,4512448.3856199,15,0,0,0,dh&isCorrectAnswer=true"
86,쉐이크쉑청담점,서울 강남구 도산대로 327-0,간이음식,19720,"https://map.naver.com/v5/search/%EC%89%90%EC%9D%B4%ED%81%AC%EC%89%91%EC%B2%AD%EB%8B%B4%EC%A0%90/place/876646309?c=14142096.8227714,4512448.3856199,15,0,0,0,dh&isCorrectAnswer=true"
87,감나무집기사식당,서울 마포구 연남로 23-0,한식,19479,"https://map.naver.com/v5/search/%EA%B0%90%EB%82%98%EB%AC%B4%EC%A7%91%EA%B8%B0%EC%82%AC%EC%8B%9D%EB%8B%B9/place/12985100?c=14142096.8227714,4512448.3856199,15,0,0,0,dh&isCorrectAnswer=true"
88,스테이지28,서울 강동구 아리수로61길 105-0,전문음식,19397,"https://map.naver.com/v5/search/%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%A7%8028/place/36960545?c=14153475.0773560,4518269.7610948,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
89,카페노티드삼성,서울 강남구 테헤란로103길 9-0,카페/찻집,19387,"https://map.naver.com/v5/search/%EC%B9%B4%ED%8E%98%EB%85%B8%ED%8B%B0%EB%93%9C%EC%82%BC%EC%84%B1/place/1182668560?c=14144239.2331634,4510448.5736926,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
90,맥도날드가락DT점,서울 송파구 동남로 196-0,간이음식,19365,"https://map.naver.com/v5/search/%EB%A7%A5%EB%8F%84%EB%82%A0%EB%93%9C%EA%B0%80%EB%9D%BD/place/1968466314?c=14151670.7776535,4508315.5296508,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
